0.875	0.875	0.984416
1	0.875	0.954481
1.125	0.875	0.90964
1.25	0.875	0.850593
1.375	0.875	0.778263
1.5	0.875	0.69378
1.625	0.875	0.598462
1.75	0.875	0.493797
1.875	0.875	0.381421
2	0.875	0.263086
2.125	0.875	0.140639
2.25	0.875	0.0159932
2.375	0.875	-0.108908
2.5	0.875	-0.232114
2.625	0.875	-0.351702
2.75	0.875	-0.465807
2.875	0.875	-0.572646
3	0.875	-0.670554
3.125	0.875	-0.758001
3.25	0.875	-0.833624
3.375	0.875	-0.896241
3.5	0.875	-0.944876
3.625	0.875	-0.978769
3.75	0.875	-0.997391
3.875	0.875	-1.00045
4	0.875	-0.9879
4.125	0.875	-0.959935
4.25	0.875	-0.916989
4.375	0.875	-0.859733
4.5	0.875	-0.789058
4.625	0.875	-0.706065
4.75	0.875	-0.612048
4.875	0.875	-0.50847
5	0.875	-0.396944
0	1	0.841471
0.125	1	0.902414
0.25	1	0.949244
0.375	1	0.981235
0.5	1	0.99789
0.625	1	0.998953
0.75	1	0.984407
0.875	1	0.954484
1	1	0.909651
1.125	1	0.85061
1.25	1	0.778283
1.375	1	0.6938
1.5	1	0.59848
1.625	1	0.493813
1.75	1	0.381431
1.875	1	0.26309
2	1	0.140636
2.125	1	0.015981
2.25	1	-0.108929
2.375	1	-0.232145
2.5	1	-0.351744
2.625	1	-0.465859
2.75	1	-0.572709
2.875	1	-0.670627
3	1	-0.758084
3.125	1	-0.833715
3.25	1	-0.896341
3.375	1	-0.944984
3.5	1	-0.978884
3.625	1	-0.997512
3.75	1	-1.00058
3.875	1	-0.988032
4	1	-0.96007
4.125	1	-0.917129
4.25	1	-0.859877
4.375	1	-0.789207
4.5	1	-0.706221
4.625	1	-0.612211
4.75	1	-0.508644
4.875	1	-0.397133
5	1	-0.279415
0	1.125	0.902268
0.125	1.125	0.949129
0.25	1.125	0.981147
0.375	1.125	0.997825
0.5	1.125	0.998907
0.625	1.125	0.984379
0.75	1.125	0.954469
0.875	1.125	0.909647
1	1.125	0.850614
1.125	1.125	0.778292
1.25	1.125	0.693813
1.375	1.125	0.598495
1.5	1.125	0.493827
1.625	1.125	0.381443
1.75	1.125	0.263097
1.875	1.125	0.140638
2	1.125	0.0159771
2.125	1.125	-0.10894
2.25	1.125	-0.232165
2.375	1.125	-0.351772
2.5	1.125	-0.465896
2.625	1.125	-0.572755
2.75	1.125	-0.670682
2.875	1.125	-0.758149
3	1.125	-0.833789
3.125	1.125	-0.896423
3.25	1.125	-0.945074
3.375	1.125	-0.978981
3.5	1.125	-0.997616
3.625	1.125	-1.00069
3.75	1.125	-0.988147
3.875	1.125	-0.960191
4	1.125	-0.917254
4.125	1.125	-0.860007
4.25	1.125	-0.789342
4.375	1.125	-0.706361
4.5	1.125	-0.612358
4.625	1.125	-0.5088
4.75	1.125	-0.3973
4.875	1.125	-0.279597
5	1.125	-0.157526
0	1.25	0.948985
0.125	1.25	0.981031
0.25	1.25	0.997735
0.375	1.25	0.998839
0.5	1.25	0.98433
0.625	1.25	0.954436
0.75	1.25	0.909628
0.875	1.25	0.850605
1	1.25	0.778292
1.125	1.25	0.693819
1.25	1.25	0.598504
1.375	1.25	0.493838
1.5	1.25	0.381454
1.625	1.25	0.263107
1.75	1.25	0.140645
1.875	1.25	0.0159793
2	1.25	-0.108944
2.125	1.25	-0.232174
2.25	1.25	-0.351789
2.375	1.25	-0.465921
2.5	1.25	-0.572788
2.625	1.25	-0.670723
2.75	1.25	-0.758198
2.875	1.25	-0.833846
3	1.25	-0.896488
3.125	1.25	-0.945146
3.25	1.25	-0.979061
3.375	1.25	-0.997702
